Family	Species
Dasyatidae	Dasyatis_pastinaca
Myliobatidae	Myliobatis_aquila
Myliobatidae	Pteromylaeus_bovinus
Balistidae	Balistes_capriscus
Sparidae	Diplodus_vulgaris
Sparidae	Diplodus_annularis
Sparidae	Diplodus_sargus
Sparidae	Diplodus_puntazzo
Sparidae	Diplodus_cervinus
Sparidae	Oblada_melanura
Sparidae	Sarpa_salpa
Sparidae	Lithognathus_mormyrus
Sparidae	Sparus_aurata
Sparidae	Dentex_dentex
Sparidae	Boops_boops
Sparidae	Pagellus_acarne
Sparidae	Pagrus_pagrus
Sparidae	Pagrus_auriga
Sparidae	Spondyliosoma_cantharus
Carangidae	Trachinotus_ovatus
Carangidae	Trachurus_sp
Carangidae	Seriola_dumerili
Carangidae	Pseudocaranx_dentex
Mugilidae	Liza_sp
Mugilidae	Oedalechilus_labeo
Mugilidae	Mugil_cephalus
Pomacentridae	Chromis_chromis
Blenniidae	Parablennius_sanguinolentus
Blenniidae	Parablennius_pilicornis
Blenniidae	Parablennius_gattorugine
Blenniidae	Parablennius_zvonimiri
Blenniidae	Parablennius_incognitus
Blenniidae	Parablennius_tentacularis
Blenniidae	Parablennius_rouxi
Blenniidae	Microlipophrys_canevai
Blenniidae	Microlipophrys_trigloides
Blenniidae	Microlipophrys_dalmatinus
Blenniidae	Coryphoblennius_galerita
Blenniidae	Aidablennius_sphynx
Blenniidae	Salaria_pavo
Blenniidae	Scartella_cristata
Gobiidae	Gobius_bucchichi
Gobiidae	Gobius_niger
Gobiidae	Gobius_cobitis
Gobiidae	Gobius_sp
Gobiidae	Gobius_cruentatus
Gobiidae	Gobius_geniporus
Gobiidae	Gobius_xanthocephalus
Gobiidae	Pomatoschistus_sp
Gobiidae	Chromogobius_zebratus
Gobiidae	Thorogobius_ephippiatus
Tripterygiidae	Tripterygion_delaisi
Tripterygiidae	Tripterygion_melanurum
Tripterygiidae	Tripterygion_tripteronotum
Tripterygiidae	Tripterygion_sp
Belonidae	Belone_belone
Labridae	Simphodus_sp
Labridae	Symphodus_tinca
Labridae	Symphodus_cinereus
Labridae	Symphodus_roissali
Labridae	Symphodus_rostratus
Labridae	Symphodus_ocellatus
Labridae	Symphodus_mediterraneus
Labridae	Symphodus_melanorcercus
Labridae	Coris_julis
Labridae	Thalassoma_pavo
Labridae	Labrus_merula
Labridae	Labrus_viridis
Labridae	Xyrichtys_novacula
Atherinidae	Atherina_sp
Bothidae	Bothus_podas
Mullidae	Mullus_barbatus
Mullidae	Mullus_surmuletus
Serranidae	Apogon_imberbis
Serranidae	Serranus_cabrilla
Serranidae	Serranus_scriba
Serranidae	Serranus_atricauda
Serranidae	Epinephelus_marginatus
Serranidae	Epinephelus_costae
Serranidae	Mycteroperca_rubra
Serranidae	Anthias_anthias
Serranidae	Dicentrarchus_labrax
Serranidae	Dicentrarchus_punctatus
Scorpaenidae	Scorpaena_porcus
Scorpaenidae	Scorpaena_maderensis
Scorpaenidae	Scorpaena_scrofa
Syngnathidae	Syngnathus_typhle
Syngnathidae	Hippocampus_sp
Gobiesocidae	Lepadogaster_lepadogaster
Gobiesocidae	Apletodon_incognitus
Gobiesocidae	Lepadogaster_candolii
Gobiesocidae	Lepadogaster_sp
Callionymidae	Callionymus_sp
Muraenidae	Muraena_helena
Muraenidae	Gymnothorax_unicolor
Congridae	Conger_conger
Scianidae	Sciaena_umbra
Sphyraenidae	Sphyraena_viridensis
Trachinidae	Trachinus_radiatus
Haemulidae	Pomadasys_incisus
Molidae	Mola_mola
Centracanthidae	Spicara_sp
Phycidae	Phycis_phycis
Clupeidae	Sardina_pilchardus
Clupeidae	Sardinella_aurita
Scombridae	Euthynnus_alletteratus
Ammodytidae	Gymnammodytes_sp
Scombridae	Thunnus_alalunga
