location	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA	MPA
dive_site	Dentro	Dentro	Piles_2	Piles_1	Testa	Piles_2	Piles_2	Testa	Fuera	Fuera	Fuera	Piles 2	Fuera	Dentro	Piles 2
date	01/05/2021	08/05/2021	06/06/2021	13/06/2021	19/06/2021	26/06/2021	10/07/2021	17/07/2021	16/08/2021	18/08/2021	20/08/2021	25/08/2021	NA	16/10/2021	29/10/2021
time	12:00	12:00	12:15	9:00	12:15	12:15	12:10	12:00	9:30	9:30	9:30	10:00	NA	12:00	9:50
seafloor	rocky	rocky	mix	mix	mix	mix	mix	mix	rocky	rocky	rocky	mix	rocky	rocky	mix
species_number	22	21	21	22	20	21	17	18	19	23	20	26	27	25	25
min_temperature	15	16	19	21	19	22	21	21	14	17	22	24	14	21	21
max_temperature	17	17	19	21	22	23	23	24	26	26	26	26	26	22	22
min_depth	5.4	0	11	11	11	11		11	4.7	7.8	5.6	11.2		11	11
max_depth	24.2	23.3	25	25	20.2	20.7	20.2	23	46.6	40.5	32.5	29	36.7	22.4	27.3
Dasyatis_pastinaca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Myliobatis_aquila	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
Pteromylaeus_bovinus	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Balistes_capriscus	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Diplodus_vulgaris	0	0	0	1	1	1	0	1	1	1	1	1	1	0	1
Diplodus_annularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diplodus_sargus	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Diplodus_puntazzo	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Diplodus_cervinus	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1
Oblada_melanura	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Sarpa_salpa	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0
Lithognathus_mormyrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sparus_aurata	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0
Dentex_dentex	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
Boops_boops	0	0	0	1	0	0	0	0	0	0	0	1	0	1	1
Pagellus_acarne	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pagrus_pagrus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pagrus_auriga	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0
Spondyliosoma_cantharus	1	1	1	0	0	0	0	1	0	0	0	0	0	1	0
Trachinotus_ovatus	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Trachurus_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Seriola_dumerili	1	0	0	0	0	1	1	0	1	0	1	0	1	1	0
Pseudocaranx_dentex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Liza_sp	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oedalechilus_labeo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mugil_cephalus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chromis_chromis	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Parablennius_sanguinolentus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parablennius_pilicornis	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
Parablennius_gattorugine	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parablennius_zvonimiri	0	0	0	1	0	0	1	0	1	1	0	0	1	1	0
Parablennius_incognitus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parablennius_tentacularis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parablennius_rouxi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Microlipophrys_canevai	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microlipophrys_trigloides	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Microlipophrys_dalmatinus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coryphoblennius_galerita	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
